schedule_id,device_id,start_time,end_time,action
30,D002,2023-02-20 18:00:00,2023-02-20 18:30:00,Lock Front Door
31,D003,2023-03-30 10:00:00,2023-03-30 11:00:00,Start Recording
32,D001,2023-01-26 08:00:00,2023-01-26 09:00:00,Turn On
33,D002,2023-02-21 18:00:00,2023-02-21 18:30:00,Lock Front Door
34,D003,2023-03-31 10:00:00,2023-03-31 11:00:00,Start Recording
35,D001,2023-01-27 08:00:00,2023-01-27 09:00:00,Turn On
36,D002,2023-02-22 18:00:00,2023-02-22 18:30:00,Lock Front Door
37,D003,2023-04-01 10:00:00,2023-04-01 11:00:00,Start Recording
38,D001,2023-01-28 08:00:00,2023-01-28 09:00:00,Turn On
39,D002,2023-02-23 18:00:00,2023-02-23 18:30:00,Lock Front Door
40,D003,2023-04-02 10:00:00,2023-04-02 11:00:00,Start Recording
41,D001,2023-01-29 08:00:00,2023-01-29 09:00:00,Turn On
42,D002,2023-02-24 18:00:00,2023-02-24 18:30:00,Lock Front Door
43,D003,2023-04-03 10:00:00,2023-04-03 11:00:00,Start Recording
44,D001,2023-01-30 08:00:00,2023-01-30 09:00:00,Turn On
45,D002,2023-02-25 18:00:00,2023-02-25 18:30:00,Lock Front Door
46,D003,2023-04-04 10:00:00,2023-04-04 11:00:00,Start Recording
47,D001,2023-01-31 08:00:00,2023-01-31 09:00:00,Turn On
48,D002,2023-02-26 18:00:00,2023-02-26 18:30:00,Lock Front Door
49,D003,2023-04-05 10:00:00,2023-04-05 11:00:00,Start Recording
50,D001,2023-02-01 08:00:00,2023-02-01 09:00:00,Turn On
51,D002,2023-02-27 18:00:00,2023-02-27 18:30:00,Lock Front Door
52,D003,2023-04-06 10:00:00,2023-04-06 11:00:00,Start Recording
53,D001,2023-02-02 08:00:00,2023-02-02 09:00:00,Turn On
54,D002,2023-02-28 18:00:00,2023-02-28 18:30:00,Lock Front Door
55,D003,2023-04-07 10:00:00,2023-04-07 11:00:00,Start Recording
56,D001,2023-02-03 08:00:00,2023-02-03 09:00:00,Turn On
57,D002,2023-03-01 18:00:00,2023-03-01 18:30:00,Lock Front Door
58,D003,2023-04-08 10:00:00,2023-04-08 11:00:00,Start Recording
59,D001,2023-02-04 08:00:00,2023-02-04 09:00:00,Turn On
60,D002,2023-03-02 18:00:00,2023-03-02 18:30:00,Lock Front Door
61,D003,2023-04-09 10:00:00,2023-04-09 11:00:00,Start Recording
62,D001,2023-02-05 08:00:00,2023-02-05 09:00:00,Turn On
63,D002,2023-03-03 18:00:00,2023-03-03 18:30:00,Lock Front Door
64,D003,2023-04-10 10:00:00,2023-04-10 11:00:00,Start Recording
65,D001,2023-02-06 08:00:00,2023-02-06 09:00:00,Turn On
66,D002,2023-03-04 18:00:00,2023-03-04 18:30:00,Lock Front Door
67,D003,2023-04-11 10:00:00,2023-04-11 11:00:00,Start Recording
68,D001,2023-02-07 08:00:00,2023-02-07 09:00:00,Turn On
69,D002,2023-03-05 18:00:00,2023-03-05 18:30:00,Lock Front Door
70,D003,2023-04-12 10:00:00,2023-04-12 11:00:00,Start Recording
71,D001,2023-02-08 08:00:00,2023-02-08 09:00:00,Turn On
72,D002,2023-03-06 18:00:00,2023-03-06 18:30:00,Lock Front Door
73,D003,2023-04-13 10:00:00,2023-04-13 11:00:00,Start Recording
74,D001,2023-02-09 08:00:00,2023-02-09 09:00:00,Turn On
75,D002,2023-03-07 18:00:00,2023-03-07 18:30:00,Lock Front Door
76,D003,2023-04-14 10:00:00,2023-04-14 11:00:00,Start Recording
77,D001,2023-02-10 08:00:00,2023-02-10 09:00:00,Turn On
78,D002,2023-03-08 18:00:00,2023-03-08 18:30:00,Lock Front Door
79,D003,2023-04-15 10:00:00,2023-04-15 11:00:00,Start Recording
80,D001,2023-02-11 08:00:00,2023-02-11 09:00:00,Turn On
81,D002,2023-03-09 18:00:00,2023-03-09 18:30:00,Lock Front Door
82,D003,2023-04-16 10:00:00,2023-04-16 11:00:00,Start Recording
83,D001,2023-02-12 08:00:00,2023-02-12 09:00:00,Turn On
84,D002,2023-03-10 18:00:00,2023-03-10 18:30:00,Lock Front Door
85,D003,2023-04-17 10:00:00,2023-04-17 11:00:00,Start Recording
86,D001,2023-02-13 08:00:00,2023-02-13 09:00:00,Turn On
87,D002,2023-03-11 18:00:00,2023-03-11 18:30:00,Lock Front Door
88,D003,2023-04-18 10:00:00,2023-04-18 11:00:00,Start Recording
89,D001,2023-02-14 08:00:00,2023-02-14 09:00:00,Turn On
90,D002,2023-03-12 18:00:00,2023-03-12 18:30:00,Lock Front Door
91,D003,2023-04-19 10:00:00,2023-04-19 11:00:00,Start Recording
92,D001,2023-02-15 08:00:00,2023-02-15 09:00:00,Turn On
93,D002,2023-03-13 18:00:00,2023-03-13 18:30:00,Lock Front Door
94,D003,2023-04-20 10:00:00,2023-04-20 11:00:00,Start Recording
95,D001,2023-02-16 08:00:00,2023-02-16 09:00:00,Turn On
96,D002,2023-03-14 18:00:00,2023-03-14 18:30:00,Lock Front Door
97,D003,2023-04-21 10:00:00,2023-04-21 11:00:00,Start Recording
98,D001,2023-02-17 08:00:00,2023-02-17 09:00:00,Turn On
99,D002,2023-03-15 18:00:00,2023-03-15 18:30:00,Lock Front Door
100,D003,2023-04-22 10:00:00,2023-04-22 11:00:00,Start Recording
101,D001,2023-02-18 08:00:00,2023-02-18 09:00:00,Turn On
102,D002,2023-03-16 18:00:00,2023-03-16 18:30:00,Lock Front Door
103,D003,2023-04-23 10:00:00,2023-04-23 11:00:00,Start Recording
104,D001,2023-02-19 08:00:00,2023-02-19 09:00:00,Turn On
105,D002,2023-03-17 18:00:00,2023-03-17 18:30:00,Lock Front Door
106,D003,2023-04-24 10:00:00,2023-04-24 11:00:00,Start Recording
107,D001,2023-02-20 08:00:00,2023-02-20 09:00:00,Turn On
108,D002,2023-03-18 18:00:00,2023-03-18 18:30:00,Lock Front Door
109,D003,2023-04-25 10:00:00,2023-04-25 11:00:00,Start Recording
110,D001,2023-02-21 08:00:00,2023-02-21 09:00:00,Turn On
111,D002,2023-03-19 18:00:00,2023-03-19 18:30:00,Lock Front Door
112,D003,2023-04-26 10:00:00,2023-04-26 11:00:00,Start Recording
113,D001,2023-02-22 08:00:00,2023-02-22 09:00:00,Turn On
114,D002,2023-03-20 18:00:00,2023-03-20 18:30:00,Lock Front Door
115,D003,2023-04-27 10:00:00,2023-04-27 11:00:00,Start Recording
116,D001,2023-02-23 08:00:00,2023-02-23 09:00:00,Turn On
117,D002,2023-03-21 18:00:00,2023-03-21 18:30:00,Lock Front Door
118,D003,2023-04-28 10:00:00,2023-04-28 11:00:00,Start Recording
119,D001,2023-02-24 08:00:00,2023-02-24 09:00:00,Turn On
120,D002,2023-03-22 18:00:00,2023-03-22 18:30:00,Lock Front Door
121,D003,2023-04-29 10:00:00,2023-04-29 11:00:00,Start Recording
122,D001,2023-02-25 08:00:00,2023-02-25 09:00:00,Turn On
123,D002,2023-03-23 18:00:00,2023-03-23 18:30:00,Lock Front Door
124,D003,2023-04-30 10:00:00,2023-04-30 11:00:00,Start Recording
125,D001,2023-02-26 08:00:00,2023-02-26 09:00:00,Turn On
126,D002,2023-03-24 18:00:00,2023-03-24 18:30:00,Lock Front Door
127,D003,2023-05-01 10:00:00,2023-05-01 11:00:00,Start Recording
128,D001,2023-02-27 08:00:00,2023-02-27 09:00:00,Turn On
129,D002,2023-03-25 18:00:00,2023-03-25 18:30:00,Lock Front Door
130,D003,2023-05-02 10:00:00,2023-05-02 11:00:00,Start Recording
131,D001,2023-02-28 08:00:00,2023-02-28 09:00:00,Turn On
132,D002,2023-03-26 18:00:00,2023-03-26 18:30:00,Lock Front Door
133,D003,2023-05-03 10:00:00,2023-05-03 11:00:00,Start Recording
134,D001,2023-03-01 08:00:00,2023-03-01 09:00:00,Turn On
135,D002,2023-03-27 18:00:00,2023-03-27 18:30:00,Lock Front Door
136,D003,2023-05-04 10:00:00,2023-05-04 11:00:00,Start Recording
137,D001,2023-03-02 08:00:00,2023-03-02 09:00:00,Turn On
138,D002,2023-03-28 18:00:00,2023-03-28 18:30:00,Lock Front Door
139,D003,2023-05-05 10:00:00,2023-05-05 11:00:00,Start Recording
140,D001,2023-03-03 08:00:00,2023-03-03 09:00:00,Turn On
141,D002,2023-03-29 18:00:00,2023-03-29 18:30:00,Lock Front Door
142,D003,2023-05-06 10:00:00,2023-05-06 11:00:00,Start Recording
143,D001,2023-03-04 08:00:00,2023-03-04 09:00:00,Turn On
144,D002,2023-03-30 18:00:00,2023-03-30 18:30:00,Lock Front Door
145,D003,2023-05-07 10:00:00,2023-05-07 11:00:00,Start Recording
146,D001,2023-03-05 08:00:00,2023-03-05 09:00:00,Turn On
147,D002,2023-03-31 18:00:00,2023-03-31 18:30:00,Lock Front Door
148,D003,2023-05-08 10:00:00,2023-05-08 11:00:00,Start Recording
149,D001,2023-03-06 08:00:00,2023-03-06 09:00:00,Turn On
150,D002,2023-04-01 18:00:00,2023-04-01 18:30:00,Lock Front Door
151,D003,2023-05-09 10:00:00,2023-05-09 11:00:00,Start Recording
152,D001,2023-03-07 08:00:00,2023-03-07 09:00:00,Turn On
153,D002,2023-04-02 18:00:00,2023-04-02 18:30:00,Lock Front Door
154,D003,2023-05-10 10:00:00,2023-05-10 11:00:00,Start Recording
155,D001,2023-03-08 08:00:00,2023-03-08 09:00:00,Turn On
156,D002,2023-04-03 18:00:00,2023-04-03 18:30:00,Lock Front Door
157,D003,2023-05-11 10:00:00,2023-05-11 11:00:00,Start Recording
158,D001,2023-03-09 08:00:00,2023-03-09 09:00:00,Turn On
159,D002,2023-04-04 18:00:00,2023-04-04 18:30:00,Lock Front Door
160,D003,2023-05-12 10:00:00,2023-05-12 11:00:00,Start Recording
161,D001,2023-03-10 08:00:00,2023-03-10 09:00:00,Turn On
162,D002,2023-04-05 18:00:00,2023-04-05 18:30:00,Lock Front Door
163,D003,2023-05-13 10:00:00,2023-05-13 11:00:00,Start Recording
164,D001,2023-03-11 08:00:00,2023-03-11 09:00:00,Turn On
165,D002,2023-04-06 18:00:00,2023-04-06 18:30:00,Lock Front Door
166,D003,2023-05-14 10:00:00,2023-05-14 11:00:00,Start Recording
167,D001,2023-03-12 08:00:00,2023-03-12 09:00:00,Turn On
168,D002,2023-04-07 18:00:00,2023-04-07 18:30:00,Lock Front Door
169,D003,2023-05-15 10:00:00,2023-05-15 11:00:00,Start Recording
170,D001,2023-03-13 08:00:00,2023-03-13 09:00:00,Turn On
171,D002,2023-04-08 18:00:00,2023-04-08 18:30:00,Lock Front Door
172,D003,2023-05-16 10:00:00,2023-05-16 11:00:00,Start Recording
173,D001,2023-03-14 08:00:00,2023-03-14 09:00:00,Turn On
174,D002,2023-04-09 18:00:00,2023-04-09 18:30:00,Lock Front Door
175,D003,2023-05-17 10:00:00,2023-05-17 11:00:00,Start Recording
176,D001,2023-03-15 08:00:00,2023-03-15 09:00:00,Turn On
177,D002,2023-04-10 18:00:00,2023-04-10 18:30:00,Lock Front Door
178,D003,2023-05-18 10:00:00,2023-05-18 11:00:00,Start Recording
179,D001,2023-03-16 08:00:00,2023-03-16 09:00:00,Turn On
180,D002,2023-04-11 18:00:00,2023-04-11 18:30:00,Lock Front Door
181,D003,2023-05-19 10:00:00,2023-05-19 11:00:00,Start Recording
182,D001,2023-03-17 08:00:00,2023-03-17 09:00:00,Turn On
183,D002,2023-04-12 18:00:00,2023-04-12 18:30:00,Lock Front Door
184,D003,2023-05-20 10:00:00,2023-05-20 11:00:00,Start Recording
185,D001,2023-03-18 08:00:00,2023-03-18 09:00:00,Turn On
186,D002,2023-04-13 18:00:00,2023-04-13 18:30:00,Lock Front Door
187,D003,2023-05-21 10:00:00,2023-05-21 11:00:00,Start Recording
188,D001,2023-03-19 08:00:00,2023-03-19 09:00:00,Turn On
189,D002,2023-04-14 18:00:00,2023-04-14 18:30:00,Lock Front Door
190,D003,2023-05-22 10:00:00,2023-05-22 11:00:00,Start Recording
191,D001,2023-03-20 08:00:00,2023-03-20 09:00:00,Turn On
192,D002,2023-04-15 18:00:00,2023-04-15 18:30:00,Lock Front Door
193,D003,2023-05-23 10:00:00,2023-05-23 11:00:00,Start Recording
194,D001,2023-03-21 08:00:00,2023-03-21 09:00:00,Turn On
195,D002,2023-04-16 18:00:00,2023-04-16 18:30:00,Lock Front Door
196,D003,2023-05-24 10:00:00,2023-05-24 11:00:00,Start Recording
197,D001,2023-03-22 08:00:00,2023-03-22 09:00:00,Turn On
198,D002,2023-04-17 18:00:00,2023-04-17 18:30:00,Lock Front Door
199,D003,2023-05-25 10:00:00,2023-05-25 11:00:00,Start Recording
200,D001,2023-03-23 08:00:00,2023-03-23 09:00:00,Turn On
201,D002,2023-04-18 18:00:00,2023-04-18 18:30:00,Lock Front Door
202,D003,2023-05-26 10:00:00,2023-05-26 11:00:00,Start Recording
203,D001,2023-03-24 08:00:00,2023-03-24 09:00:00,Turn On
204,D002,2023-04-19 18:00:00,2023-04-19 18:30:00,Lock Front Door
205,D003,2023-05-27 10:00:00,2023-05-27 11:00:00,Start Recording
206,D001,2023-03-25 08:00:00,2023-03-25 09:00:00,Turn On
207,D002,2023-04-20 18:00:00,2023-04-20 18:30:00,Lock Front Door
208,D003,2023-05-28 10:00:00,2023-05-28 11:00:00,Start Recording
209,D001,2023-03-26 08:00:00,2023-03-26 09:00:00,Turn On
210,D002,2023-04-21 18:00:00,2023-04-21 18:30:00,Lock Front Door
211,D003,2023-05-29 10:00:00,2023-05-29 11:00:00,Start Recording
212,D001,2023-03-27 08:00:00,2023-03-27 09:00:00,Turn On
213,D002,2023-04-22 18:00:00,2023-04-22 18:30:00,Lock Front Door
214,D003,2023-05-30 10:00:00,2023-05-30 11:00:00,Start Recording
215,D001,2023-03-28 08:00:00,2023-03-28 09:00:00,Turn On
216,D002,2023-04-23 18:00:00,2023-04-23 18:30:00,Lock Front Door
217,D003,2023-05-31 10:00:00,2023-05-31 11:00:00,Start Recording
218,D001,2023-03-29 08:00:00,2023-03-29 09:00:00,Turn On
219,D002,2023-04-24 18:00:00,2023-04-24 18:30:00,Lock Front Door
220,D003,2023-06-01 10:00:00,2023-06-01 11:00:00,Start Recording
221,D001,2023-03-30 08:00:00,2023-03-30 09:00:00,Turn On
222,D002,2023-04-25 18:00:00,2023-04-25 18:30:00,Lock Front Door
223,D003,2023-06-02 10:00:00,2023-06-02 11:00:00,Start Recording
224,D001,2023-03-31 08:00:00,2023-03-31 09:00:00,Turn On
225,D002,2023-04-26 18:00:00,2023-04-26 18:30:00,Lock Front Door
226,D003,2023-06-03 10:00:00,2023-06-03 11:00:00,Start Recording
227,D001,2023-04-01 08:00:00,2023-04-01 09:00:00,Turn On
228,D002,2023-04-27 18:00:00,2023-04-27 18:30:00,Lock Front Door
229,D003,2023-06-04 10:00:00,2023-06-04 11:00:00,Start Recording
230,D001,2023-04-02 08:00:00,2023-04-02 09:00:00,Turn On
231,D002,2023-04-28 18:00:00,2023-04-28 18:30:00,Lock Front Door
232,D003,2023-06-05 10:00:00,2023-06-05 11:00:00,Start Recording
233,D001,2023-04-03 08:00:00,2023-04-03 09:00:00,Turn On
234,D002,2023-04-29 18:00:00,2023-04-29 18:30:00,Lock Front Door
235,D003,2023-06-06 10:00:00,2023-06-06 11:00:00,Start Recording
236,D001,2023-04-04 08:00:00,2023-04-04 09:00:00,Turn On
237,D002,2023-04-30 18:00:00,2023-04-30 18:30:00,Lock Front Door
238,D003,2023-06-07 10:00:00,2023-06-07 11:00:00,Start Recording
239,D001,2023-04-05 08:00:00,2023-04-05 09:00:00,Turn On
240,D002,2023-05-01 18:00:00,2023-05-01 18:30:00,Lock Front Door
241,D003,2023-06-08 10:00:00,2023-06-08 11:00:00,Start Recording
242,D001,2023-04-06 08:00:00,2023-04-06 09:00:00,Turn On
243,D002,2023-05-02 18:00:00,2023-05-02 18:30:00,Lock Front Door
244,D003,2023-06-09 10:00:00,2023-06-09 11:00:00,Start Recording
245,D001,2023-04-07 08:00:00,2023-04-07 09:00:00,Turn On
246,D002,2023-05-03 18:00:00,2023-05-03 18:30:00,Lock Front Door
247,D003,2023-06-10 10:00:00,2023-06-10 11:00:00,Start Recording
248,D001,2023-04-08 08:00:00,2023-04-08 09:00:00,Turn On
249,D002,2023-05-04 18:00:00,2023-05-04 18:30:00,Lock Front Door
250,D003,2023-06-11 10:00:00,2023-06-11 11:00:00,Start Recording
251,D001,2023-04-09 08:00:00,2023-04-09 09:00:00,Turn On
252,D002,2023-05-05 18:00:00,2023-05-05 18:30:00,Lock Front Door
253,D003,2023-06-12 10:00:00,2023-06-12 11:00:00,Start Recording
254,D001,2023-04-10 08:00:00,2023-04-10 09:00:00,Turn On
255,D002,2023-05-06 18:00:00,2023-05-06 18:30:00,Lock Front Door
256,D003,2023-06-13 10:00:00,2023-06-13 11:00:00,Start Recording
257,D001,2023-04-11 08:00:00,2023-04-11 09:00:00,Turn On
258,D002,2023-05-07 18:00:00,2023-05-07 18:30:00,Lock Front Door
259,D003,2023-06-14 10:00:00,2023-06-14 11:00:00,Start Recording
260,D001,2023-04-12 08:00:00,2023-04-12 09:00:00,Turn On
261,D002,2023-05-08 18:00:00,2023-05-08 18:30:00,Lock Front Door
262,D003,2023-06-15 10:00:00,2023-06-15 11:00:00,Start Recording
263,D001,2023-04-13 08:00:00,2023-04-13 09:00:00,Turn On
264,D002,2023-05-09 18:00:00,2023-05-09 18:30:00,Lock Front Door
265,D003,2023-06-16 10:00:00,2023-06-16 11:00:00,Start Recording
266,D001,2023-04-14 08:00:00,2023-04-14 09:00:00,Turn On
267,D002,2023-05-10 18:00:00,2023-05-10 18:30:00,Lock Front Door
268,D003,2023-06-17 10:00:00,2023-06-17 11:00:00,Start Recording
269,D001,2023-04-15 08:00:00,2023-04-15 09:00:00,Turn On
270,D002,2023-05-11 18:00:00,2023-05-11 18:30:00,Lock Front Door
271,D003,2023-06-18 10:00:00,2023-06-18 11:00:00,Start Recording
272,D001,2023-04-16 08:00:00,2023-04-16 09:00:00,Turn On
273,D002,2023-05-12 18:00:00,2023-05-12 18:30:00,Lock Front Door
274,D003,2023-06-19 10:00:00,2023-06-19 11:00:00,Start Recording
275,D001,2023-04-17 08:00:00,2023-04-17 09:00:00,Turn On
276,D002,2023-05-13 18:00:00,2023-05-13 18:30:00,Lock Front Door
277,D003,2023-06-20 10:00:00,2023-06-20 11:00:00,Start Recording
278,D001,2023-04-18 08:00:00,2023-04-18 09:00:00,Turn On
279,D002,2023-05-14 18:00:00,2023-05-14 18:30:00,Lock Front Door
280,D003,2023-06-21 10:00:00,2023-06-21 11:00:00,Start Recording
281,D001,2023-04-19 08:00:00,2023-04-19 09:00:00,Turn On
282,D002,2023-05-15 18:00:00,2023-05-15 18:30:00,Lock Front Door
283,D003,2023-06-22 10:00:00,2023-06-22 11:00:00,Start Recording
284,D001,2023-04-20 08:00:00,2023-04-20 09:00:00,Turn On
285,D002,2023-05-16 18:00:00,2023-05-16 18:30:00,Lock Front Door
286,D003,2023-06-23 10:00:00,2023-06-23 11:00:00,Start Recording
287,D001,2023-04-21 08:00:00,2023-04-21 09:00:00,Turn On
288,D002,2023-05-17 18:00:00,2023-05-17 18:30:00,Lock Front Door
289,D003,2023-06-24 10:00:00,2023-06-24 11:00:00,Start Recording
290,D001,2023-04-22 08:00:00,2023-04-22 09:00:00,Turn On
291,D002,2023-05-18 18:00:00,2023-05-18 18:30:00,Lock Front Door
292,D003,2023-06-25 10:00:00,2023-06-25 11:00:00,Start Recording
293,D001,2023-04-23 08:00:00,2023-04-23 09:00:00,Turn On
294,D002,2023-05-19 18:00:00,2023-05-19 18:30:00,Lock Front Door
295,D003,2023-06-26 10:00:00,2023-06-26 11:00:00,Start Recording
296,D001,2023-04-24 08:00:00,2023-04-24 09:00:00,Turn On
297,D002,2023-05-20 18:00:00,2023-05-20 18:30:00,Lock Front Door
298,D003,2023-06-27 10:00:00,2023-06-27 11:00:00,Start Recording
299,D001,2023-04-25 08:00:00,2023-04-25 09:00:00,Turn On
300,D002,2023-05-21 18:00:00,2023-05-21 18:30:00,Lock Front Door
301,D003,2023-06-28 10:00:00,2023-06-28 11:00:00,Start Recording
302,D001,2023-01-16 08:00:00,2023-01-16 09:00:00,Turn On
303,D002,2023-02-11 18:00:00,2023-02-11 18:30:00,Lock Front Door
304,D003,2023-03-21 10:00:00,2023-03-21 11:00:00,Start Recording
305,D001,2023-01-17 08:00:00,2023-01-17 09:00:00,Turn On
306,D002,2023-02-12 18:00:00,2023-02-12 18:30:00,Lock Front Door
307,D003,2023-03-22 10:00:00,2023-03-22 11:00:00,Start Recording
308,D001,2023-01-18 08:00:00,2023-01-18 09:00:00,Turn On
309,D002,2023-02-13 18:00:00,2023-02-13 18:30:00,Lock Front Door
310,D003,2023-03-23 10:00:00,2023-03-23 11:00:00,Start Recording
311,D001,2023-01-19 08:00:00,2023-01-19 09:00:00,Turn On
312,D002,2023-02-14 18:00:00,2023-02-14 18:30:00,Lock Front Door
313,D003,2023-03-24 10:00:00,2023-03-24 11:00:00,Start Recording
314,D001,2023-01-20 08:00:00,2023-01-20 09:00:00,Turn On
315,D002,2023-02-15 18:00:00,2023-02-15 18:30:00,Lock Front Door
316,D003,2023-03-25 10:00:00,2023-03-25 11:00:00,Start Recording
317,D001,2023-01-21 08:00:00,2023-01-21 09:00:00,Turn On
318,D002,2023-02-16 18:00:00,2023-02-16 18:30:00,Lock Front Door
319,D003,2023-03-26 10:00:00,2023-03-26 11:00:00,Start Recording
320,D001,2023-01-22 08:00:00,2023-01-22 09:00:00,Turn On
321,D002,2023-02-17 18:00:00,2023-02-17 18:30:00,Lock Front Door
322,D003,2023-03-27 10:00:00,2023-03-27 11:00:00,Start Recording
323,D001,2023-01-23 08:00:00,2023-01-23 09:00:00,Turn On
324,D002,2023-02-18 18:00:00,2023-02-18 18:30:00,Lock Front Door
325,D003,2023-03-28 10:00:00,2023-03-28 11:00:00,Start Recording
326,D001,2023-01-24 08:00:00,2023-01-24 09:00:00,Turn On
327,D002,2023-02-19 18:00:00,2023-02-19 18:30:00,Lock Front Door
328,D003,2023-03-29 10:00:00,2023-03-29 11:00:00,Start Recording
329,D001,2023-01-25 08:00:00,2023-01-25 09:00:00,Turn On
330,D002,2023-02-20 18:00:00,2023-02-20 18:30:00,Lock Front Door
331,D003,2023-03-30 10:00:00,2023-03-30 11:00:00,Start Recording
332,D001,2023-01-26 08:00:00,2023-01-26 09:00:00,Turn On
333,D002,2023-02-21 18:00:00,2023-02-21 18:30:00,Lock Front Door
334,D003,2023-03-31 10:00:00,2023-03-31 11:00:00,Start Recording
335,D001,2023-01-27 08:00:00,2023-01-27 09:00:00,Turn On
336,D002,2023-02-22 18:00:00,2023-02-22 18:30:00,Lock Front Door
337,D003,2023-04-01 10:00:00,2023-04-01 11:00:00,Start Recording
338,D001,2023-01-28 08:00:00,2023-01-28 09:00:00,Turn On
339,D002,2023-02-23 18:00:00,2023-02-23 18:30:00,Lock Front Door
340,D003,2023-04-02 10:00:00,2023-04-02 11:00:00,Start Recording
341,D001,2023-01-29 08:00:00,2023-01-29 09:00:00,Turn On
342,D002,2023-02-24 18:00:00,2023-02-24 18:30:00,Lock Front Door
343,D003,2023-04-03 10:00:00,2023-04-03 11:00:00,Start Recording
344,D001,2023-01-30 08:00:00,2023-01-30 09:00:00,Turn On
345,D002,2023-02-25 18:00:00,2023-02-25 18:30:00,Lock Front Door
346,D003,2023-04-04 10:00:00,2023-04-04 11:00:00,Start Recording
347,D001,2023-01-31 08:00:00,2023-01-31 09:00:00,Turn On
348,D002,2023-02-26 18:00:00,2023-02-26 18:30:00,Lock Front Door
349,D003,2023-04-05 10:00:00,2023-04-05 11:00:00,Start Recording
350,D001,2023-02-01 08:00:00,2023-02-01 09:00:00,Turn On
351,D002,2023-02-27 18:00:00,2023-02-27 18:30:00,Lock Front Door
352,D003,2023-04-06 10:00:00,2023-04-06 11:00:00,Start Recording
353,D001,2023-02-02 08:00:00,2023-02-02 09:00:00,Turn On
354,D002,2023-02-28 18:00:00,2023-02-28 18:30:00,Lock Front Door
355,D003,2023-04-07 10:00:00,2023-04-07 11:00:00,Start Recording
356,D001,2023-02-03 08:00:00,2023-02-03 09:00:00,Turn On
357,D002,2023-03-01 18:00:00,2023-03-01 18:30:00,Lock Front Door
358,D003,2023-04-08 10:00:00,2023-04-08 11:00:00,Start Recording
359,D001,2023-02-04 08:00:00,2023-02-04 09:00:00,Turn On
360,D002,2023-03-02 18:00:00,2023-03-02 18:30:00,Lock Front Door
361,D003,2023-04-09 10:00:00,2023-04-09 11:00:00,Start Recording
362,D001,2023-02-05 08:00:00,2023-02-05 09:00:00,Turn On
363,D002,2023-03-03 18:00:00,2023-03-03 18:30:00,Lock Front Door
364,D003,2023-04-10 10:00:00,2023-04-10 11:00:00,Start Recording
365,D001,2023-02-06 08:00:00,2023-02-06 09:00:00,Turn On
366,D002,2023-03-04 18:00:00,2023-03-04 18:30:00,Lock Front Door
367,D003,2023-04-11 10:00:00,2023-04-11 11:00:00,Start Recording
368,D001,2023-02-07 08:00:00,2023-02-07 09:00:00,Turn On
369,D002,2023-03-05 18:00:00,2023-03-05 18:30:00,Lock Front Door
370,D003,2023-04-12 10:00:00,2023-04-12 11:00:00,Start Recording
371,D001,2023-02-08 08:00:00,2023-02-08 09:00:00,Turn On
372,D002,2023-03-06 18:00:00,2023-03-06 18:30:00,Lock Front Door
373,D003,2023-04-13 10:00:00,2023-04-13 11:00:00,Start Recording
